(no genres listed), 3.0486133309876373, 4568
Action, 2.9263900772756397, 6913
Adventure, 3.0116000290172544, 3868
Animation, 3.1011452319795665, 2911
Children, 3.033050965971724, 2866
Comedy, 3.041877588258223, 16051
Crime, 3.0926803706063497, 5024
Documentary, 3.382492811392763, 5453
Drama, 3.1789963131398356, 24465
Fantasy, 3.0208010719942515, 2667
Film-Noir, 3.3181423279951434, 349
Horror, 2.650740414937355, 5746
IMAX, 3.252120922947029, 195
Musical, 3.200530479192946, 1017
Mystery, 3.0457866375469895, 2782
Romance, 3.147094828794066, 7305
Sci-Fi, 2.7605302847755215, 3502
Thriller, 2.9444558794763505, 8330
War, 3.246514552968756, 1770
Western, 3.0257552664910237, 1156
